"V1","V2","V3"
2276.449174,336.1841538,1285.957969
2274.66246,337.2171264,1272.562349
2278.271931,334.290158,1268.701313
2274.468449,335.8493787,1302.213458
2285.749495,334.5948519,1260.283885
2304.460457,335.7888033,1320.558174
2275.251128,335.7547706,1296.919481
2281.346297,332.9397607,1270.413956
2281.178802,332.8275764,1290.666704
2277.238842,334.1353282,1290.279927
2304.192939,346.5778835,1382.28326
2279.889387,333.2553288,1271.05976
2270.332284,338.3790674,1302.941076
2291.381326,335.4877006,1271.816695
2279.803734,333.7540385,1301.32443
2287.233144,336.2787118,1263.245791
2279.006928,336.5970297,1270.74021
2283.42318,335.5001585,1259.600508
2273.885632,341.172376,1330.821446
2288.737428,331.7783007,1302.966593
2298.684397,343.3328148,1378.367201
2272.948229,336.0473596,1290.957826
2275.967319,334.6206382,1266.765018
2279.995616,335.560143,1264.460448
2279.645864,334.9648522,1275.903879
2279.05025,335.5650007,1270.094143
2278.454883,336.8551509,1271.409299
2278.531404,335.4704971,1270.556689
2276.937036,335.2951869,1267.928915
2287.055576,339.1773269,1265.624694
2291.610043,337.0914828,1343.740593
2276.075171,335.1345004,1268.989582
2268.974167,338.7358502,1296.600187
2279.460903,338.6645228,1277.085768
2272.607076,339.8675828,1301.393468
2281.190681,333.0789453,1294.797378
2288.952887,332.1491728,1313.434186
2282.136212,332.4816036,1283.902121
2275.856319,335.006494,1290.854234
2276.147896,334.6119802,1287.527751
2301.161776,340.7975701,1307.463551
2291.197775,331.3965322,1303.155378
2282.715646,334.9456446,1259.765262
2294.279936,336.0819194,1278.336259
2274.424758,335.7096804,1288.150785
2275.653453,337.4745387,1273.945964
2275.985161,335.4225289,1274.866531
2276.03809,335.1002754,1268.420478
2286.02177,345.5630449,1361.820474
2310.039138,345.2427505,1376.93457
2281.923607,334.0952248,1262.439815
2280.937233,332.7432991,1278.401229
2282.247527,338.8332708,1263.717244
2275.049615,335.7099155,1299.752431
2280.155067,333.3349309,1269.49873
2276.752978,335.9628949,1271.426379
2285.223817,331.9353174,1277.608546
2273.247684,335.9643148,1269.301263
2274.693453,337.3601638,1273.790453
2278.229706,337.0055674,1265.600582
2284.101009,331.9796417,1280.662972
2280.476331,334.081175,1262.25904
2275.203656,336.753,1265.631708
2272.934531,335.8407147,1281.63601
2284.861214,332.397108,1278.97514
2289.977855,334.3949841,1267.129927
2295.059774,331.9199528,1331.109673
2276.486945,335.4814842,1275.227946
2308.448662,338.5708963,1332.44756
2278.462146,333.5432047,1274.625271
2310.148545,339.4202511,1336.35654
2284.867106,332.7434003,1269.736097
2278.015381,337.0312781,1262.260272
2288.313649,337.1684336,1265.143668
2278.99145,336.8104427,1262.449614
2286.107649,333.7271699,1325.193172
2272.657256,336.0270924,1292.377824
2277.41613,334.5853442,1265.535448
2280.591218,335.2137073,1267.528363
2284.920269,331.9125978,1277.696418
2281.215196,332.9171444,1291.057677
2287.436335,333.3069412,1265.774091
2284.892314,334.1911381,1261.11081
2282.124828,332.5426663,1286.810272
2277.877853,340.5127735,1290.284363
2291.548418,335.7635855,1273.150419
2277.988113,337.3704699,1269.667298
2281.002032,332.9574141,1271.120271
2282.281849,333.9887093,1261.435629
2277.118549,334.7783498,1280.337828
2286.412281,332.9067108,1299.902362
2277.065339,337.6157826,1267.987245
2288.952822,333.8076321,1328.817003
2276.552337,334.3257191,1275.957773
2279.310364,333.9803521,1265.586624
2272.10541,338.7769435,1276.44507
2282.076808,333.9136722,1263.389511
2280.058452,336.7991344,1259.369737
2279.877907,334.1380412,1262.741937
2287.082047,333.3778155,1325.126396
2279.319539,333.5393095,1272.516111
2281.479318,339.1067235,1279.552211
2290.387858,332.0982079,1285.586335
2275.15392,339.3693473,1291.955574
2286.671742,334.2439225,1262.093534
2277.644294,334.5667447,1271.374762
2276.474914,335.7845541,1265.789197
2286.245884,333.1550496,1264.422737
2290.250982,338.7357701,1270.91814
2283.674679,332.3009625,1279.59405
2284.8389,331.9675272,1278.306614
2284.30139,335.3986036,1259.41215
2300.091172,336.3844117,1293.794014
2275.380906,336.7641035,1273.909554
2275.497225,334.9336251,1275.393127
2283.282346,333.3396359,1263.893414
2287.884866,331.6299863,1307.869843
2281.207875,333.1586668,1298.416144
2276.871549,334.0471305,1272.616533
2283.097204,336.1241929,1259.659112
2271.911312,336.7815197,1277.290074
2279.252754,335.9155004,1263.053599
2295.832862,332.8217258,1294.453535
2276.088034,334.7599985,1274.672703
2282.071771,333.0475145,1292.851604
2273.824036,338.7707691,1272.775052
2278.69849,333.5258181,1287.046441
2277.681548,337.6084474,1279.942901
2285.798152,332.4864494,1270.643614
2281.231714,334.7546584,1260.684707
2280.330009,333.4809624,1289.808374
2279.140408,334.4614487,1263.493785
2288.456633,333.158541,1267.273503
2281.466842,340.5627664,1264.040164
2286.083704,331.5655166,1287.044894
2275.949084,339.5199871,1273.732887
2284.600197,334.040655,1261.043859
2276.440038,335.6529251,1279.123592
2293.830954,333.9607246,1343.695588
2280.78799,332.8477277,1276.676848
2287.155409,332.074883,1293.747611
2271.615793,336.8528585,1293.068473
2278.332997,334.1895822,1264.040099
2277.625873,333.9731393,1276.70589
2287.480137,331.2803281,1294.669783
2306.237076,339.6786099,1328.123567
2274.690041,335.1990437,1283.74668
2303.467228,340.2651157,1323.188374
2285.947407,336.7692649,1261.855853
2277.761484,334.6740274,1282.847597
2273.742497,338.4447407,1271.421233
2280.647977,335.0253914,1319.290049
2287.3492,336.8321464,1264.416935
2274.506125,335.1266819,1283.010036
2278.125153,339.5985626,1278.493191
2289.938052,332.2616029,1278.954387
2279.708617,333.3372438,1286.94731
2276.939784,336.6835223,1266.8256
2280.006626,336.0919516,1261.121619
2281.678247,333.3637739,1265.187123
2270.703226,337.1279698,1296.608791
2279.404953,337.3804416,1264.47101
2301.642128,337.4848726,1302.922382
2275.170565,338.6391201,1282.845614
2277.071131,334.7935467,1267.689986
2291.214898,333.3477608,1272.534415
2280.136599,332.957002,1278.222254
2276.665836,337.0950925,1271.355659
2305.01453,335.3363611,1322.3957
2271.520579,337.8295618,1289.783128
2279.283299,337.9828662,1264.699741
2278.618898,333.9362709,1266.71992
2274.178007,339.9437164,1301.501123
2278.650752,335.3275003,1263.487059
2283.522941,334.8064912,1259.832865
2295.714614,339.9252832,1286.130026
2281.326481,332.874562,1271.29641
2281.321331,342.4367711,1282.197339
2277.688057,333.8775073,1280.03401
2281.352067,333.639731,1263.422645
2278.920199,333.6342895,1290.958548
2284.742609,332.1817223,1271.6603
2281.499965,332.6816265,1277.427832
2277.594999,333.9727316,1273.87622
2280.389576,333.0108688,1279.120824
2310.940543,342.3731631,1358.720678
2285.297475,332.1826437,1291.963071
2279.486059,335.5771505,1261.411415
2271.442639,336.6087798,1283.985647
2296.736619,341.1749424,1366.257577
2274.352144,337.7627098,1293.686692
2283.972167,332.22545,1275.851503
2275.073604,334.8944722,1268.120123
2281.605807,335.216744,1259.519444
2280.481032,338.8374867,1276.49544
