"V1","V2","V3"
2311.666549,346.2439178,1380.098838
2311.527279,346.7726002,1378.573785
2311.249294,346.7247573,1373.65766
2309.169007,346.364202,1370.06265
2306.507833,346.5883695,1347.545263
2306.607869,343.1491003,1377.316207
2307.550243,343.2193919,1377.364117
2296.478127,339.7009339,1351.347862
2311.629364,346.5223319,1380.293988
2304.829013,345.5826438,1380.788735
2302.555426,341.1772117,1376.01824
2311.123343,346.6691196,1381.887738
2311.654051,345.8633733,1373.138732
2311.084686,346.6142524,1375.503571
2309.038494,344.7295897,1382.203819
2311.620848,345.4590819,1377.144006
2311.049103,345.8639376,1381.80688
2311.640583,346.6826566,1379.965555
2310.423318,346.7655633,1369.845473
2309.801178,345.9216412,1381.545804
2311.640236,346.4263303,1379.062124
2311.606804,346.6811792,1380.784845
2303.858167,344.1934104,1375.680084
2304.658795,340.6650682,1371.482633
2310.679864,346.7411109,1381.885654
2311.658854,345.956507,1379.89728
2306.322463,346.3285532,1358.614712
2310.769295,344.5915602,1382.070831
2311.567068,346.7042297,1382.160436
2308.885262,342.6642814,1378.654292
2311.665059,346.3585353,1382.005624
2310.21814,344.6625949,1380.973972
2310.447435,346.7613431,1374.453893
2302.220689,341.6363852,1378.160509
2308.929096,344.1606564,1378.908341
2301.472633,344.2012582,1362.891625
2311.49989,344.5049532,1373.453757
2310.485724,346.7749469,1368.456467
2311.431734,345.4929647,1379.7538
2310.637567,345.4618712,1382.264892
2292.055161,339.2902042,1349.203884
2311.546591,345.2971365,1381.608872
2311.237234,346.4853451,1373.825179
2304.512354,345.625333,1374.33302
2311.652591,346.7532668,1377.658991
2309.661044,346.7633506,1370.907109
2305.523418,341.7714817,1375.959764
2309.066268,343.8998013,1382.313475
2311.540625,346.0374799,1379.118215
2300.451834,343.4959585,1374.478059
2311.553437,346.5923762,1380.249865
2311.625716,345.7189314,1366.964714
2311.106599,346.7123044,1376.514456
2311.393628,345.3602205,1382.343605
2310.900615,346.558601,1370.478465
2310.804388,346.7412954,1371.49036
2311.251607,344.5149966,1378.084512
2311.316764,346.72176,1380.378906
2296.993698,344.4178289,1315.922068
2305.997563,346.0948894,1357.55927
2308.794357,344.8869532,1381.099879
2311.645518,346.531043,1376.525087
2311.617241,346.5130878,1382.34211
2310.018882,345.4475925,1382.048802
2297.052532,344.5528609,1335.704726
2311.537006,346.6081896,1370.542115
2309.093688,346.727819,1371.373578
2311.467633,346.6131701,1376.498048
2311.413169,346.7569109,1374.746539
2311.397233,346.7610703,1382.294862
2311.450173,346.0935686,1382.257499
2311.277389,346.6942597,1377.880752
2306.493401,342.1658914,1379.552775
2311.664341,346.7725852,1381.744556
2308.178001,345.1987718,1332.544413
2306.132141,342.9906727,1379.605187
2300.692131,346.7734483,1333.381401
2311.531654,346.6529841,1379.937441
2311.311547,346.6942864,1372.276453
2311.387149,345.3840467,1381.361928
2311.666556,346.1222195,1378.611396
2311.225242,345.9651287,1382.330167
2309.023983,345.8639832,1382.287626
2293.775476,337.5528412,1346.705202
2311.440147,346.7745147,1379.663872
2310.483792,344.5632336,1381.12276
2310.151173,344.7609302,1382.340678
2311.637498,345.5242525,1378.814407
2309.999415,346.6035169,1365.932999
2305.264907,346.2200462,1347.057838
2311.449396,346.6075581,1374.747643
2295.873847,343.9790346,1351.134994
2287.692936,336.8772572,1330.680774
2311.552249,345.7597931,1381.058153
2310.849625,346.6779949,1375.785717
2311.515977,346.4096297,1374.000016
2305.198479,341.4166186,1376.243634
2311.507421,345.9004044,1379.354669
2294.243974,342.5698554,1311.843244
2311.641377,346.0448911,1380.450806
2309.164558,346.3695532,1376.131379
2311.659705,346.7744344,1375.896802
2309.600472,345.395145,1382.340965
2311.471933,346.7139621,1381.735735
2311.384101,346.6119937,1376.382901
2310.626515,344.6589623,1382.339107
2309.458638,346.7464606,1367.374662
2308.335172,346.459871,1380.058822
2311.591086,345.895947,1378.497252
2311.450649,346.1563647,1380.212196
2308.74142,344.0609737,1382.28622
2311.068256,346.5673769,1369.245626
2310.979874,346.7464108,1370.929223
2311.548078,346.4567937,1377.589473
2307.398022,346.031542,1380.469412
2311.559331,346.103425,1379.222217
2310.05061,346.7091995,1361.951715
2308.926816,344.5284347,1380.83745
2311.284966,346.6502577,1376.755368
2307.319853,346.7404362,1340.157757
2309.273025,345.5388521,1382.305072
2308.581807,346.497012,1359.198366
2309.572444,346.4317552,1378.789627
2309.385604,344.6614447,1379.102103
2310.653313,346.7757234,1369.292146
2311.63949,345.7047184,1373.432551
2311.612139,346.5000494,1381.710265
2300.063503,342.9237569,1368.821109
2309.884216,346.7736168,1366.933988
2310.807162,346.7725519,1374.650099
2310.754062,346.7606426,1374.237419
2311.666325,346.3637147,1382.223882
2310.942942,346.5520946,1367.530238
2311.309191,346.4785223,1371.741242
2311.591752,346.4434856,1378.70072
2311.638699,346.305383,1374.687857
2308.935045,343.2810653,1378.546171
2311.655157,346.4603284,1378.196257
2310.900089,345.5339609,1381.83464
2304.290733,344.3011178,1370.290245
2311.501205,346.5709248,1381.458866
2307.039931,346.7690598,1347.711442
2305.26587,345.250631,1367.864481
2308.619686,343.9086161,1382.17242
2310.08856,346.7510568,1375.424112
2308.394153,344.8387217,1381.120305
2311.384163,345.6324195,1382.260913
2311.433692,345.5543307,1379.330212
2302.050375,345.9811226,1380.909441
2309.183478,344.6442702,1382.253948
2311.60797,346.7737003,1377.289357
2306.529432,346.2531619,1375.725152
2311.594081,346.5000876,1374.896126
2311.22058,346.7657092,1377.451987
2311.653364,346.4842074,1379.067298
2310.194434,345.225935,1382.279218
2310.698394,346.6146703,1371.245029
2303.633471,343.5411724,1371.459114
2305.049182,345.2632725,1378.946626
2310.696503,345.5419087,1381.868002
2311.033846,345.7722321,1382.313513
2311.193071,345.5258551,1381.337238
2310.693436,346.6893311,1367.629686
2309.063122,346.7729028,1345.90408
2308.046502,346.669166,1358.355314
2311.66659,346.5055408,1382.024905
2311.367285,346.4823295,1372.222032
2311.436324,346.7012986,1374.203734
2301.174858,339.6490526,1361.191168
2298.683355,345.5877919,1303.032836
2300.146617,343.8427702,1363.203459
2307.918028,343.5974611,1381.841447
2311.5271,346.7761358,1382.16406
2311.661793,346.6152991,1379.608806
2311.602926,346.7183683,1380.529696
2311.158798,346.628481,1372.759024
2311.337673,345.6170615,1382.125495
2311.11966,345.8316264,1381.112587
