AID,clus_ID,clus_start,clus_end,open,dur,locs,radius,inv date,found,species,notes
SF9,C01,4/27/2021 19:00,5/1/2021 7:00,N,84,13,83,5/3/2021,Y,deer,doe and fawn
SF10,C01,4/29/2021 1:00,4/29/2021 16:00,N,15,5,101,,,,
SM6,C00,4/29/2021 1:00,4/29/2021 22:00,N,21,7,145,,,,
SF9,C02,4/30/2021 10:00,5/1/2021 4:00,N,18,7,178,5/5/2021,N,,"found scat and some pigeon feathers, but no evidence of kill"
SF9,C03,5/1/2021 10:00,5/2/2021 4:00,N,18,7,121,5/5/2021,Y,deer,fawn
SF1,C01,5/1/2021 13:00,5/1/2021 22:00,N,9,4,114,,,,
SM6,C01,5/2/2021 4:00,5/5/2021 4:00,N,72,9,42,5/6/2021,Y,pig,juvenile
SF10,C02,5/2/2021 7:00,5/3/2021 4:00,Y,21,4,113,,,,
SF1,C01,5/2/2021 13:00,5/5/2021 4:00,N,63,22,186,5/4/2021,Y,deer,set camera
SF9,C04,5/2/2021 19:00,5/3/2021 4:00,N,9,4,74,5/9/2021,N,,found scattered deer hair but no kill. Possibly fawn
SM6,C02,5/3/2021 10:00,5/4/2021 1:00,N,15,6,53,5/7/2021,Y,deer,fawn
SF10,C03,5/3/2021 22:00,5/5/2021 4:00,Y,30,11,97,,,,
SF9,C3.1,5/3/2021 22:00,5/4/2021 4:00,N,6,3,2,6/15/2021,N,,
SF9,C05,5/4/2021 19:00,5/7/2021 4:00,N,57,17,55,5/6/2021,Y,deer,
SF1,C03,5/6/2021 7:00,5/6/2021 22:00,N,15,6,73,5/7/2021,Y,mallard,possible nest
SF10,C3.1,5/6/2021 22:00,5/7/2021 4:00,N,6,3,16,,,,
SF1,3.1,5/7/2021 19:00,5/8/2021 1:00,N,6,3,62,6/20/2021,N,,
SF1,C4.1,5/8/2021 22:00,5/12/2021 16:00,N,90,17,128,5/10/2021,Y,deer,same as cluster 4
SM6,C03,5/8/2021 7:00,5/9/2021 4:00,N,21,8,32,5/11/2021,Y,pig,
SF1,C04,5/9/2021 1:00,5/12/2021 19:00,N,90,13,89,5/10/2021,Y,deer,set camera
SF9,C06,5/10/2021 1:00,5/13/2021 4:00,N,75,21,174,5/11/2021,Y,deer,set camera
SF10,C3.2,5/10/2021 22:00,5/11/2021 19:00,N,21,3,29,,,,
SF1,C05,5/13/2021 13:00,5/14/2021 4:00,N,15,6,39,5/15/2021,N,,
SM6,C3.1,5/13/2021 16:00,5/13/2021 22:00,N,6,3,15,5/19/2021,N,,same as SM6_C04
SM6,C04,5/14/2021 1:00,5/15/2021 16:00,N,39,5,82,5/19/2021,N,,
SF10,C01,5/14/2021 13:00,5/15/2021 7:00,N,30,10,26,5/15/2021,Y,deer,fawn
SF9,C07,5/14/2021 22:00,5/15/2021 7:00,N,9,4,67,5/16/2021,Y,deer,fawn
SF10,C02,5/16/2021 4:00,5/17/2021 7:00,N,27,10,162,5/17/2021,N,,
SF9,C3.2,5/16/2021 22:00,5/17/2021 4:00,N,6,3,23,6/9/2021,N,,
SM6,C3.2,5/16/2021 22:00,5/17/2021 4:00,N,6,3,58,6/9/2021,N,,
SF10,C03,5/17/2021 10:00,5/19/2021 4:00,N,42,11,27,5/18/2021,Y,deer,fawn
SF1,C3.2,5/18/2021 4:00,5/21/2021 19:00,N,87,3,86,,,,
SF9,C08,5/18/2021 7:00,5/18/2021 22:00,N,15,6,132,5/19/2021,Y,deer,2 fawns
SM6,C05,5/18/2021 13:00,5/20/2021 4:00,N,39,14,95,5/19/2021,Y,pig,MJ07 - ear tagged
SF1,C3.3,5/19/2021 4:00,5/22/2021 4:00,N,72,3,102,,,,
SF9,C09,5/19/2021 22:00,5/22/2021 1:00,N,51,15,95,5/21/2021,Y,deer,doe and fawn
SF9,C10,5/22/2021 7:00,5/23/2021 4:00,N,21,7,58,5/23/2021,Y,deer,fawn
SF1,C06,5/22/2021 13:00,5/23/2021 1:00,N,12,5,94,5/23/2021,Y,deer,fawn
SF1,C07,5/23/2021 10:00,5/23/2021 22:00,N,12,5,61,5/24/2021,N,,
SF9,3.3,5/23/2021 22:00,5/24/2021 4:00,N,6,3,87,6/18/2021,N,,
SF1,C08,5/24/2021 22:00,5/25/2021 13:00,N,18,7,151,5/27/2021,Y,deer,fawn
SF10,C3.3,5/24/2021 22:00,5/27/2021 10:00,N,60,3,53,,,,
SF9,3.4,5/25/2021 22:00,5/26/2021 4:00,N,6,3,38,6/20/2021,Y,unk,"only found hair. Could be deer, but possibly rabbit"
SF1,C09,5/26/2021 7:00,5/27/2021 1:00,N,18,6,46,5/30/2021,Y,deer,fawn
SF9,C11,5/26/2021 7:00,5/29/2021 1:00,N,66,7,90,5/29/2021,N,,"5/26 location just happed to be in same location, cluster truly began on 5/28"
SF9,C12,5/26/2021 10:00,5/28/2021 7:00,N,45,15,201,5/29/2021,Y,deer,
SF1,C10,5/27/2021 7:00,5/28/2021 4:00,N,21,8,64,5/30/2021,Y,deer,fawn
SM6,C06,5/28/2021 22:00,5/31/2021 4:00,N,54,12,51,6/2/2021,Y,deer,
SF1,3.4,5/28/2021 22:00,5/29/2021 4:00,N,6,3,82,6/18/2021,N,,
SF1,3.5,5/29/2021 22:00,5/30/2021 4:00,N,6,3,7,6/17/2021,N,,
SF1,C11,5/30/2021 22:00,6/1/2021 1:00,N,27,6,36,6/1/2021,Y,deer,fawn
SF9,C13,5/30/2021 22:00,5/31/2021 7:00,N,9,4,37,6/1/2021,N,,
SF10,C3.4,5/30/2021 22:00,5/31/2021 4:00,N,6,3,32,,,,
SF9,C14,5/31/2021 19:00,6/1/2021 4:00,N,9,4,32,6/3/2021,Y,deer,fawn
SF1,C12,6/1/2021 19:00,6/2/2021 4:00,N,9,4,47,6/5/2021,N,,
SF9,C3.5,6/2/2021 22:00,6/3/2021 4:00,N,6,3,51,6/8/2021,N,,
SF9,C15,6/3/2021 22:00,6/5/2021 7:00,N,33,4,59,6/7/2021,Y,deer,fawn
SM6,C07,6/4/2021 10:00,6/5/2021 4:00,N,18,7,57,6/8/2021,Y,pig,only found hair
SF9,C3.6,6/4/2021 22:00,6/5/2021 4:00,N,6,3,50,6/8/2021,Y,deer,fawn
SF1,C13,6/5/2021 16:00,6/6/2021 10:00,N,18,5,24,6/6/2021,Y,deer,fawn
SF9,C16,6/5/2021 22:00,6/8/2021 4:00,N,54,10,183,6/7/2021,Y,deer,
SF9,CXX,6/6/2021 4:00,6/8/2021 4:00,,45,8,165,6/7/2021,Y,deer,same as C16
SF1,C14,6/6/2021 13:00,6/8/2021 4:00,Y,39,14,130,6/7/2021,Y,deer,fawn
SF9,C17,6/8/2021 22:00,6/9/2021 4:00,N,6,3,82,6/15/2021,Y,mallard/wood duck,
SM6,C08,6/10/2021 7:00,6/12/2021 4:00,N,45,4,94,6/15/2021,Y,deer,fawn
SM6,C09,6/10/2021 22:00,6/11/2021 4:00,N,6,3,26,6/15/2021,Y,band tailed pigeon,
SF1,C15,6/11/2021 4:00,6/12/2021 4:00,N,24,4,10,6/15/2021,Y,deer,fawn
SF9,C18,6/13/2021 1:00,6/14/2021 1:00,N,24,4,49,6/15/2021,Y,deer,possible scavenge
SF1,C16,6/13/2021 22:00,6/17/2021 4:00,N,78,16,136,6/17/2021,Y,deer,Two fawns and hair that looks like from an adult. First point of cluster was really 6/14/2021 @ 19:00
SF9,C19,6/15/2021 7:00,6/15/2021 22:00,N,15,5,38,6/20/2021,Y,deer,fawn
SF9,C20,6/16/2021 19:00,6/17/2021 22:00,N,27,4,53,6/19/2021,Y,deer,fawn
SF1,C17,6/17/2021 22:00,6/18/2021 4:00,N,6,3,24,6/23/2021,N,,
SM6,C10,6/17/2021 4:00,6/18/2021 4:00,N,24,3,42,6/20/2021,Y,pig,
