Date,Obs,Sample_ID,Species_1,Sp1_%,Species_2,Sp2_%,Species_3,Sp3_%,Species_4,Sp4_%,Notes,Season,Cluster,Method
10/25/2022,RS,SF9 W21 C24,SUSC,34,UNK,66,,,,,#12,winter,Y,kill
10/18/2022,RS,SF9 S22 C23,PRLO,10,ODHE,60,BONE,30,SUSC,T,#3,summer,Y,kill
10/18/2022,MP,SF9 S22 C13,ODHE,90,BONE,10,PUCO,T,SUSC,T,"#5, PUCO possibly other carnivore",summer,Y,kill
10/18/2022,RS,Unk Scat South of Shutins,CECA,40,BONE,60,PUCO,T,,,#7,summer,N,opportunistic
10/18/2022,MP,SM6 S22 C12,SUSC,30,BONE,70,UNK1,T,,,"#8, very few haris",summer,Y,kill
10/14/2022,RS,SF9 S22 C18,SUSC,10,BONE,90,PUCO,T,,,2 ticks,summer,Y,kill
11/10/2022,MM,35,ODHE,65,BONE,35,PUCO,T,,,A few ticks,summer,Y,kill
10/27/2022,MM,17,ODHE,50,BONE,50,SUSC,T,PUCO,T,A lot of bone (likely deer),winter,Y,kill
11/17/2022,MM,27,ODHE,98,BONE,2,,,,,A lot of organic matter (leaves & twigs) SF9 S21 C42,summer,Y,kill
3/3/2023,MM,73,SUSC,50,BONE,50,,,,,A-001,,N,dog
3/29/2023,MM,81,LECA,95,BONE,5,,,,,"A-004, found some claws",,N,dog
3/3/2023,MM,89,BONE,75,ODHE,25,,,,,"A-031, chunks of possible hoof",,N,dog
2/24/2023,MM,71,ODHE,75,BONE,25,,,,,A-034,,N,dog
3/30/2023,MM,83,ODHE,95,BONE,5,,,,,"A-070, found hoof chunks",,N,dog
2/22/2023,MM,65,SUSC,70,BONE,30,,,,,A-073,,N,dog
3/10/2023,MM,78,ODHE,95,BONE,5,,,,,A-078,,N,dog
3/15/2023,MM,93,ODHE,100,BONE,T,,,,,A-082,,N,dog
3/15/2023,MM,91,LECA,95,BONE,5,,,,,A-091,,N,dog
3/24/2023,MM,82,BONE,60,ODHE,40,,,,,"A-094, some hoof chunks",,N,dog
3/16/2023,MM,84,ODHE,100,,,,,,,"A-095, chunk of hoof found",,N,dog
4/14/2023,MM,100,SUSC,100,BONE,T,,,,,B-001,,N,dog
3/21/2023,MM,95,ODHE,60,BONE,40,,,,,"B-002, small hoof chunk",,N,dog
3/17/2023,MM,94,LECA,90,BONE,10,,,,,B-003,,N,dog
3/1/2023,MM,79,ODHE,85,BONE,15,,,,,B-007,,N,dog
3/8/2023,MM,64,ODHE,70,BONE,30,,,,,B-009,,N,dog
3/8/2023,MM,70,ODHE,60,BONE,40,,,,,B-010,,N,dog
2/22/2023,MM,62,ODHE,100,BONE,T,,,,,B-011,,N,dog
4/5/2023,MM,54,ODHE,100,BONE,T,,,,,"B-012, some skin with hair",,N,dog
3/15/2023,MM,86,CALA,80,BONE,20,,,,,B-023,,N,dog
4/17/2023,RS,98,ODHE,100,,,,,,,"B-034, blue bead?, some skin ticks",,N,dog
4/26/2023,MM,92,CALA,90,BONE,10,,,,,B-035,,N,dog
3/29/2023,MM,87,ODHE,90,BONE,10,,,,,B-039,,N,dog
4/13/2023,MM,99,ODHE,50,BONE,50,,,,,B-040,,N,dog
3/24/2023,MM,90,BONE,70,ODHE,30,,,,,B-043,,N,dog
4/17/2023,RS,96,ODHE,100,,,,,,,B-051,,N,dog
3/8/2023,MM,76,BONE,70,SUSC,30,,,,,B-054,,N,dog
4/13/2023,MM,101,SUSC,90,BONE,10,,,,,B-055,,N,dog
3/16/2023,MM,56,BONE,70,SUSC,30,,,,,B-057,,N,dog
3/1/2023,MM,77,SUSC,50,BONE,50,,,,,B-058,,N,dog
2/24/2023,MM,66,CALA,50,BONE,50,PUCO,T,,,B-060,,N,dog
3/16/2023,MM,85,ODHE,80,BONE,20,,,,,B-061,,N,dog
2/23/2023,MM,75,ODHE,95,BONE,5,,,,,"B-063, some skin found",,N,dog
2/23/2023,MM,67,ODHE,60,BONE,40,,,,,B-065,,N,dog
3/3/2023,MM,80,ODHE,100,BONE,T,,,,,"B-066, some skin found",,N,dog
2/22/2023,MM,72,ODHE,95,BONE,5,,,,,B-068,,N,dog
3/8/2023,MM,60,SUSC,50,BONE,50,PUCO,T,,,B-070,,N,dog
3/1/2023,MM,69,ODHE,100,BONE,T,,,,,B-071,,N,dog
3/21/2023,MM,57,LECA,100,BONE,T,,,,,B-073,,N,dog
4/5/2023,MM,89,CALA,95,BONE,5,,,,,"B-074, found a claw",,N,dog
3/1/2023,MM,74,ODHE,90,BONE,10,SUSC,T,,,"B-075, some pig hair, but could be contamination",,N,dog
3/21/2023,MM,58,ODHE,50,BONE,50,,,,,B-076,,N,dog
4/13/2023,MM,97,ODHE,95,BONE,5,,,,,B-077,,N,dog
3/10/2023,MM,63,BONE,85,ODHE,15,SUSC,T,,,B-078,,N,dog
3/16/2023,MM,55,ODHE,60,BONE,40,,,,,B-079,,N,dog
3/17/2023,MM,59,SYBA,80,BONE,20,,,,,"B-082, claws",,N,dog
3/10/2023,MM,61,ODHE,75,BONE,25,,,,,B-083,,N,dog
3/30/2023,MM,88,BONE,98,ODHE,2,,,,,"B-084, not many hairs",,N,dog
5/15/2024,MP,124,CACA,100,SUSC,T,,,,,Beaver. SM6 S23 C22,summer,Y,kill
11/10/2022,MM,37,BONE,85,CALA,15,ODHE,T,,,Coyote nails with lots of bone,summer,N,day
11/15/2022,RS,22,ODHE,80,BONE,20,SUSC,T,,,Dewclaw and tooth,winter,N,opportunistic
